Display Name,Resource Type,OCID,Compartment,Region,Lifecycle State,Time Created (UTC),Freeform Tags,Defined Tags
dhcp,DHCP Options,ocid1.dhcpoptions.oc1.sa-saopaulo-1.aaaaaaaapwkzzc2zgmxhhy36yx7pume2oxpykrrhtfhm3vvr2ys26kn36pzq,c,Brazil East (Sao Paulo),Available,"Wed, 01 Jul 2026 18:48:44 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-07-01T18:48:44.452Z
ig-quick-action-NSG,Network Security Groups,ocid1.networksecuritygroup.oc1.sa-saopaulo-1.aaaaaaaaghnfj7yecwgfdsu5maf72mgk5eayfdxzxzeax2som3orimkrzgia,c,Brazil East (Sao Paulo),Available,"Wed, 01 Jul 2026 18:42:37 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-07-01T18:42:37.501Z
ig-quick-action-NSG,Network Security Groups,ocid1.networksecuritygroup.oc1.sa-saopaulo-1.aaaaaaaa3mszqavd2wuvdlmvvyb7oynpslmasubk4fsc2o57ayjhqvenevea,c,Brazil East (Sao Paulo),Available,"Wed, 01 Jul 2026 18:41:03 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-07-01T18:41:03.773Z
gw,Internet Gateways,ocid1.internetgateway.oc1.sa-saopaulo-1.aaaaaaaalk4msdptxkgnugwjinxdlobmf56ujslycoppd5ko5ojr3mb4o6wq,c,Brazil East (Sao Paulo),Available,"Wed, 01 Jul 2026 18:33:02 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-07-01T18:33:02.566Z
ocinix,Instances,ocid1.instance.oc1.sa-saopaulo-1.antxeljrlffnwjqcoypekjbpgfog5fp44fo6uf7fqqqh2zbfuyx56qxmhhfq,c,Brazil East (Sao Paulo),Terminated,"Wed, 01 Jul 2026 17:58:18 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-07-01T17:58:17.545Z
ocinix,Instances,ocid1.instance.oc1.sa-saopaulo-1.antxeljrlffnwjqce4nsjdz7rgtkox3hqpfa6bwbcc6bsikotid2lxy67e4a,c,Brazil East (Sao Paulo),Terminated,"Wed, 01 Jul 2026 17:45:27 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-07-01T17:45:26.657Z
Auto-backup for vol via policy: gold on 2026-07-01 03:00:00,Volume Backups,ocid1.volumebackup.oc1.sa-saopaulo-1.abtxeljrdvuqxtwv34mziyhr54uuujtv7pimh2txkpyuas6n6dtybdnwn3aq,leonardotaschetto (root),Brazil East (Sao Paulo),Available,"Wed, 01 Jul 2026 11:51:54 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-06-29T06:34:15.495Z
ocinix,Instances,ocid1.instance.oc1.sa-saopaulo-1.antxeljrlffnwjqcvggw4mxbsbyrsgdc3rz7nairj7y4qsjtbdprod5ggibq,c,Brazil East (Sao Paulo),Terminated,"Wed, 01 Jul 2026 08:56:56 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-07-01T08:56:56.233Z
Auto-backup for vol via policy: gold on 2026-06-30 03:00:00,Volume Backups,ocid1.volumebackup.oc1.sa-saopaulo-1.abtxeljr5mrfwmy5cnr4fahdst7j6ob2v72jzroh2r6tamriksh4delklhga,leonardotaschetto (root),Brazil East (Sao Paulo),Available,"Tue, 30 Jun 2026 05:34:56 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-06-29T06:34:15.495Z
ocinix (Boot Volume),Boot Volumes,ocid1.bootvolume.oc1.sa-saopaulo-1.abtxeljrz3qe4ghtrdatdjtmaatfu565nqsi3qzhuf26t7hwe2ihdoojfswa,c,Brazil East (Sao Paulo),Available,"Mon, 29 Jun 2026 10:14:48 GMT",-,Oracle-Tags.CreatedBy=default/leonardotaschetto@gmail.com; Oracle-Tags.CreatedOn=2026-06-29T10:14:44.323Z
